unit,cycle,setting1,setting2,setting3,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,RUL,sensor1_mean_10,sensor1_std_10,sensor2_mean_10,sensor2_std_10,sensor3_mean_10,sensor3_std_10,sensor4_mean_10,sensor4_std_10,sensor5_mean_10,sensor5_std_10,sensor6_mean_10,sensor6_std_10,sensor7_mean_10,sensor7_std_10,sensor8_mean_10,sensor8_std_10,sensor9_mean_10,sensor9_std_10,sensor10_mean_10,sensor10_std_10,sensor11_mean_10,sensor11_std_10,sensor12_mean_10,sensor12_std_10,sensor13_mean_10,sensor13_std_10,sensor14_mean_10,sensor14_std_10,sensor15_mean_10,sensor15_std_10,sensor16_mean_10,sensor16_std_10,sensor17_mean_10,sensor17_std_10,sensor18_mean_10,sensor18_std_10,sensor19_mean_10,sensor19_std_10,sensor20_mean_10,sensor20_std_10,sensor21_mean_10,sensor21_std_10
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.0,39.06,23.419,125,518.67,0.0,641.82,0.0,1589.7,0.0,1400.6,0.0,14.62,0.0,21.61,0.0,554.36,0.0,2388.06,0.0,9046.19,0.0,1.3,0.0,47.47,0.0,521.66,0.0,2388.02,0.0,8138.62,0.0,8.4195,0.0,0.03,0.0,392.0,0.0,2388.0,0.0,100.0,0.0,39.06,0.0,23.419,0.0
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.0,39.0,23.4236,125,518.67,0.0,641.985,0.23334523779150923,1590.76,1.4990663761154035,1401.87,1.7960512242140463,14.62,0.0,21.61,0.0,554.0550000000001,0.4313351365238438,2388.05,0.014142135623878865,9045.130000000001,1.4990663761166898,1.3,0.0,47.480000000000004,0.014142135623730649,521.97,0.4384062043356225,2388.045,0.035355339059455995,8135.055,5.041671349860483,8.425650000000001,0.008697413408594989,0.03,0.0,392.0,0.0,2388.0,0.0,100.0,0.0,39.03,0.04242640687119446,23.421300000000002,0.0032526911934568185
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.0,38.95,23.3442,125,518.67,0.0,642.1066666666667,0.2676440422152594,1589.8366666666668,1.9186540421173066,1402.6466666666668,1.8500090089872667,14.62,0.0,21.61,0.0,554.1233333333333,0.32715949219508944,2388.06,0.01999999999998181,9047.733333333334,4.632022596375676,1.3,0.0,47.410000000000004,0.12165525060596487,522.12,0.4044749683230884,2388.0400000000004,0.026457513110686295,8134.446666666667,3.717449842746534,8.423033333333334,0.007639589866828332,0.03,0.0,391.3333333333333,1.1547005383792432,2388.0,0.0,100.0,0.0,39.00333333333334,0.055075705472861676,23.3956,0.04457308604976856
1,4,0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.0,38.88,23.3739,125,518.67,0.0,642.1675,0.25011663945712914,1588.075,3.855908885507118,1402.4524999999999,1.5596447245020688,14.62,0.0,21.61,0.0,554.205,0.31310275203732674,2388.0725,0.029860788111952766,9048.17,3.881554671348465,1.3,0.0,47.34,0.17165857586111713,522.305,0.4959502663237833,2388.05,0.02943920288771984,8134.2925,3.050905603259772,8.409324999999999,0.02811729894566766,0.03,0.0,391.5,0.9999999999999952,2388.0,0.0,100.0,0.0,38.972500000000004,0.07632168761236967,23.390175,0.037976692413462396
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100.0,38.9,23.4044,125,518.67,0.0,642.208,0.23477648945326032,1587.03,4.075677857731061,1403.206,2.1594397421554934,14.62,0.0,21.61,0.0,554.164,0.2862341698679803,2388.07,0.026457513110675557,9049.566,4.587366346826665,1.3,0.0,47.328,0.1510629008062543,522.2819999999999,0.4325736931436925,2388.048,0.025884358211077006,8134.194,2.6513260833027052,8.41334,0.025952610658660613,0.03,0.0,391.8,1.095445115010327,2388.0,0.0,100.0,0.0,38.958000000000006,0.07362064927722592,23.39302,0.03349838802091893
1,6,-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.0,38.98,23.3669,125,518.67,0.0,642.19,0.2145693361130494,1586.6033333333332,3.792253507700371,1402.3999999999999,2.7619485875013043,14.62,0.0,21.61,0.0,554.2483333333333,0.3289630171716411,2388.0616666666665,0.03125166662231743,9049.585000000001,4.103329136201268,1.3,0.0,47.300000000000004,0.15152557539900852,522.1816666666667,0.4583630293410103,2388.045,0.024289915602963893,8133.97,2.434066556197785,8.412916666666666,0.02323587025843202,0.03,0.0,391.6666666666667,1.0327955589886424,2388.0,0.0,100.0,0.0,38.961666666666666,0.06645800679125757,23.388666666666666,0.03180287198771026
1,7,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.0,39.1,23.3774,125,518.67,0.0,642.2314285714285,0.22445701677816718,1587.42,4.080800575050574,1401.7385714285715,3.069101000681005,14.62,0.0,21.61,0.0,554.2614285714286,0.30229282555322906,2388.055714285714,0.032586880211430316,9050.948571428571,5.200613516920238,1.3,0.0,47.30857142857143,0.14016996485559763,522.2014285714286,0.4216803122203899,2388.042857142857,0.02288688541083567,8133.734285714286,2.3078478946330314,8.4107,0.022007195792891933,0.03,0.0,391.7142857142857,0.9511897312113392,2388.0,0.0,100.0,0.0,38.98142857142857,0.08008923594519796,23.387057142857145,0.029342566187642777
1,8,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.0,38.97,23.3106,125,518.67,0.0,642.2725,0.23807261797311757,1586.8625,4.09394587862886,1401.6425,2.854398860906267,14.62,0.0,21.61,0.0,554.21,0.3154135607194436,2388.04875,0.03603074084345097,9049.68,6.004731467767553,1.3,0.0,47.3,0.13201731488169208,522.235,0.40178174601214184,2388.04125,0.0216712449375282,8133.40125,2.335076857101526,8.4103125,0.020404161865378873,0.03,0.0,391.625,0.9161253813129023,2388.0,0.0,100.0,0.0,38.980000000000004,0.07425823667638243,23.3775,0.03832362195826422
1,9,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.0,39.05,23.4066,125,518.67,0.0,642.2555555555556,0.2284245559868225,1587.32,4.068058504987329,1400.8822222222223,3.5116014073987114,14.62,0.0,21.61,0.0,554.1522222222222,0.3421906551097561,2388.0488888888885,0.03370624736043689,9049.322222222221,5.718543909461888,1.3,0.0,47.29888888888889,0.12353586973471097,522.1855555555555,0.4040455144878951,2388.0422222222223,0.02048034287906414,8132.544444444444,3.3731369343352724,8.406144444444443,0.022817597984401753,0.03,0.0,391.6666666666667,0.8660254037844363,2388.0,0.0,100.0,0.0,38.98777777777778,0.07327649312326755,23.380733333333335,0.03713761570160337
1,10,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.0,38.95,23.4694,125,518.67,0.0,642.201,0.275940814910224,1587.712,4.030750688285137,1400.84,3.313460762137131,14.62,0.0,21.61,0.0,554.096,0.3683657602619035,2388.049,0.03178049716430595,9049.560000000001,5.44367522910755,1.3,0.0,47.272000000000006,0.14420664185659335,522.146,0.4009488745463927,2388.0440000000003,0.020110804171985058,8132.228,3.3339459437060577,8.40839,0.022654332428429177,0.03,0.0,391.8,0.9189365834726771,2388.0,0.0,100.0,0.0,38.984,0.07011102306738505,23.3896,0.04485683398943325
1,11,0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100.0,38.94,23.4787,125,518.67,0.0,642.2470000000001,0.24157124552948345,1586.917,4.365211080552371,1400.8439999999998,3.3131629734875747,14.62,0.0,21.61,0.0,554.114,0.3866436774774975,2388.048,0.03155242551004828,9049.901999999998,5.3143240398002405,1.3,0.0,47.239999999999995,0.13021349989749853,522.12,0.4422668877499382,2388.043,0.02162817092997712,8132.424000000001,3.779342094421409,8.409839999999999,0.02387556631091013,0.03,0.0,391.8,0.9189365834726771,2388.0,0.0,100.0,0.0,38.972,0.06579429222120084,23.39557,0.05252222915638319
1,12,0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100.0,39.06,23.366,125,518.67,0.0,642.238,0.24719762674156973,1586.076,4.1188245356599404,1400.545,3.216441270168719,14.62,0.0,21.61,0.0,554.191,0.38275173270524954,2388.0530000000003,0.034009802508606565,9050.432,4.917544102496526,1.3,0.0,47.209,0.09666091936937918,522.072,0.4489691897372878,2388.038,0.020439612955621005,8132.7,3.8042520070748345,8.40604,0.023000057970941144,0.03,0.0,391.7,0.948683298050509,2388.0,0.0,100.0,0.0,38.977999999999994,0.07114929530376335,23.38981,0.052264486561675524
1,13,-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100.0,38.93,23.2757,125,518.67,0.0,642.3100000000001,0.3617549815368106,1585.4959999999999,4.226320175071958,1400.208,2.957024781018187,14.62,0.0,21.61,0.0,554.109,0.448514833149961,2388.057,0.039454615277198866,9049.82,4.951444233756068,1.3,0.0,47.22,0.10974718422102982,522.0150000000001,0.435870775957,2388.043,0.024060109910150434,8132.187,4.061997456096143,8.40578,0.02286665694849133,0.03,0.0,392.0,0.8164965809277277,2388.0,0.0,100.0,0.0,38.976,0.0722956891292045,23.38296,0.06241063299719867
1,14,0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100.0,39.18,23.3826,125,518.67,0.0,642.3100000000001,0.3617549815368106,1586.5120000000002,4.698382227485879,1399.9370000000001,2.911616771180994,14.62,0.0,21.61,0.0,554.1120000000001,0.451141761410836,2388.055,0.03689323936870658,9049.609,5.012128512141044,1.3,0.0,47.251,0.12431590583848998,521.896,0.3288430899042974,2388.035,0.023687784005742767,8132.247,4.093273750923419,8.4086,0.01915480792560063,0.03,0.0,392.1,0.8755950357709134,2388.0,0.0,100.0,0.0,39.006,0.08846845012017952,23.38383,0.06233089210905805
1,15,-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100.0,38.99,23.35,125,518.67,0.0,642.316,0.3633547394306276,1586.609,4.623799423754328,1399.5279999999998,2.1070769642643947,14.62,0.0,21.61,0.0,554.076,0.4748145836943863,2388.0600000000004,0.04082482904641608,9049.316,4.729917077026781,1.3,0.0,47.253,0.12499333315554521,521.927,0.37148500792242567,2388.0389999999998,0.027668674625885445,8131.623,4.300599570602082,8.40765,0.01822143121589369,0.03,0.0,391.9,0.8755950357709134,2388.0,0.0,100.0,0.0,39.015,0.0807258735887486,23.37839,0.0627089121789439
1,16,0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.5,14.62,21.61,553.94,2388.05,9049.34,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100.0,38.97,23.455,125,518.67,0.0,642.319,0.36149227746482065,1586.9599999999998,4.57636439885543,1400.141,2.572938009358155,14.62,0.0,21.61,0.0,554.003,0.42705841390713695,2388.063,0.038600518131226676,9049.282000000001,4.728231522813495,1.3,0.0,47.261,0.12087183294713276,521.908,0.38992306933549664,2388.043,0.029078437983525926,8131.9490000000005,4.521814901120653,8.40593,0.01869664556960824,0.03,0.0,392.0,0.8164965809277277,2388.0,0.0,100.0,0.0,39.014,0.08126773310757694,23.3872,0.06695983870948281
1,17,0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100.0,38.81,23.3319,125,518.67,0.0,642.329,0.36776955344955675,1586.224,4.1944598380879325,1400.359,2.438571758678009,14.62,0.0,21.61,0.0,553.949,0.41364101451486335,2388.067,0.035605867181916134,9048.861,3.8620243684132403,1.3,0.0,47.237,0.12284136111261647,521.865,0.3621617195551374,2388.0440000000003,0.028751811537281843,8132.444,4.827541817529775,8.41161,0.023759650670832192,0.03,0.0,392.0,0.8164965809277277,2388.0,0.0,100.0,0.0,38.985,0.09732534213770644,23.382649999999998,0.06920790337012636
